2026-06-15 09:59:01.560 -05:00 [INF] === Iniciando Mozo API === {"MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 09:59:06.131 -05:00 [INF] ==> GET / | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ea9e7f82b4812f2a6dfbd7aeba1da3f4-eb0e16fd0a45880b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50D:00000001","RequestPath":"/","ConnectionId":"0HNMATQIFG50D","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.467 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-999d55de966dec3dbeb82c5d27165ea1-761e335129590cc4-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000457","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.475 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 42ms | Usuario: Anonymous | TraceId: 00-a2e5dd92613da1359b78a15c46770773-3b0de1b11720cd7b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000447","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.481 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 45ms | Usuario: Anonymous | TraceId: 00-7d6893cba47142b8fb3518664824558c-478ee8d6f840a1e2-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000449","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.485 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 44ms | Usuario: Anonymous | TraceId: 00-622fff5cc545dc5ac180e44eb615074d-0753773def6a431f-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000044B","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.490 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 19ms | Usuario: Anonymous | TraceId: 00-1c0ff836f8de6f0b1198722492967a3a-d0dc14e02592ea42-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000459","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.495 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 40ms | Usuario: Anonymous | TraceId: 00-4b11edba9fdeeef694d41cdbbe9427d9-b4c2188c04d01912-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000451","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.503 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 53ms | Usuario: Anonymous | TraceId: 00-d57bbb9604c16a813f2eeb2a94d09bf4-c98cbde87eb7b867-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000044F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.515 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 57ms | Usuario: Anonymous | TraceId: 00-a9d0d67a4584c0534d949837ae66dec8-58a430c21aeb89bf-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000453","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.527 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 81ms | Usuario: Anonymous | TraceId: 00-d33011e8b758d04be18f4a367f833bad-09e5b0f39e173600-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000044D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.541 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 77ms | Usuario: Anonymous | TraceId: 00-9e2e9bdfb315ec3ea5bb41d36c2352a9-adf730377c634c30-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000455","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:32.554 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 86ms | Usuario: Anonymous | TraceId: 00-999d55de966dec3dbeb82c5d27165ea1-761e335129590cc4-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000457","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.130 -05:00 [INF] ==> OPTIONS /seguridad/empresa | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-8e5b921a567607618ec31c2e3bfba48c-42a8c87f208b8b59-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000045B","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.148 -05:00 [INF] <== OPTIONS /seguridad/empresa | Status: 204 | Duración: 18ms | Usuario: Anonymous | TraceId: 00-8e5b921a567607618ec31c2e3bfba48c-42a8c87f208b8b59-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000045B","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.163 -05:00 [INF] ==> GET /seguridad/empresa | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-96e8969e25d6c92d2d19ca679f259efe-e12eab8dcccd52c1-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000045D","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.177 -05:00 [INF] <== GET /seguridad/empresa | Status: 200 | Duración: 13ms | Usuario: Anonymous | TraceId: 00-96e8969e25d6c92d2d19ca679f259efe-e12eab8dcccd52c1-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000045D","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.194 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-f119835faf69df9fe0d102ce39073441-5ac31914ee743b99-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000045F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.194 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-6f613dd8ed8ad758da3156b8d8dc06a5-5797893d2f1f255f-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000461","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.194 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-7c133064e23a8ddd2867eabc8043024d-ee81afb70e40169d-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000463","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.209 -05:00 [INF] <== OPTIONS /seguridad/empresa-modulo | Status: 204 | Duración: 14ms | Usuario: Anonymous | TraceId: 00-f119835faf69df9fe0d102ce39073441-5ac31914ee743b99-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000045F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.222 -05:00 [INF] <== OPTIONS /seguridad/empresa-modulo | Status: 204 | Duración: 27ms | Usuario: Anonymous | TraceId: 00-6f613dd8ed8ad758da3156b8d8dc06a5-5797893d2f1f255f-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000461","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.234 -05:00 [INF] <== OPTIONS /seguridad/empresa-modulo | Status: 204 | Duración: 39ms | Usuario: Anonymous | TraceId: 00-7c133064e23a8ddd2867eabc8043024d-ee81afb70e40169d-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000463","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.242 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-41d272f002bd09d210e1d94733b55fcd-f0be3dc4a6c5b5cc-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000465","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.253 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-9670384b3a809b9f8306b7bb1bec0558-28076bdc794c4fd7-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000467","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.263 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-21a4e557e695a89ca316a45088615f9e-d1d95dde31f73903-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000469","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.272 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 30ms | Usuario: Anonymous | TraceId: 00-41d272f002bd09d210e1d94733b55fcd-f0be3dc4a6c5b5cc-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000465","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.277 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 24ms | Usuario: Anonymous | TraceId: 00-9670384b3a809b9f8306b7bb1bec0558-28076bdc794c4fd7-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000467","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:35.284 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 21ms | Usuario: Anonymous | TraceId: 00-21a4e557e695a89ca316a45088615f9e-d1d95dde31f73903-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000469","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.713 -05:00 [INF] ==> GET /seguridad/empresa | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-8bb93d24346455da9c9defecf107e046-d69cf14d4a598d9b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000046B","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.733 -05:00 [INF] <== GET /seguridad/empresa | Status: 200 | Duración: 19ms | Usuario: Anonymous | TraceId: 00-8bb93d24346455da9c9defecf107e046-d69cf14d4a598d9b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000046B","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.750 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-90fb53cdd0d8fb9015d16d80bd76ed20-90663ea13df83aac-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000046D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.751 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-10937868055927974f65a8b4e9b2200b-fda7fd2e5a8cf575-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000046F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.751 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-5a5db837b3e967d6ef16493075f2b5c9-f8f4a8ac653a4c47-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000471","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.751 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-28b352a9e4e5fb5f90bd16ea5795f374-f2d5dc0cced635ef-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000475","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.751 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-714cd68fbecb6e76bf0723201b286819-b7373b38fe06be54-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000473","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.752 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-956a8c0ccf6acb533a37ac263f1ccf85-ce479ea855888937-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000477","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.752 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-b7137ff0c88203223c2a4aeced129cbc-9709f2ed8ea7a019-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000479","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.752 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ded1e372aba82eb8f76690a36805b0dc-f6f9d0e56d520074-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000047B","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.752 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-6ab1ddae54ca295498c17c3fa18919cf-d8d1136c432bb432-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000047D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.752 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-862926041dbcab0cb4f7e7ab89a093b0-55e7743f60d4daba-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000047F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.768 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 17ms | Usuario: Anonymous | TraceId: 00-90fb53cdd0d8fb9015d16d80bd76ed20-90663ea13df83aac-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000046D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.772 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 20ms | Usuario: Anonymous | TraceId: 00-10937868055927974f65a8b4e9b2200b-fda7fd2e5a8cf575-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000046F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.780 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 28ms | Usuario: Anonymous | TraceId: 00-5a5db837b3e967d6ef16493075f2b5c9-f8f4a8ac653a4c47-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000471","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.783 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 32ms | Usuario: Anonymous | TraceId: 00-28b352a9e4e5fb5f90bd16ea5795f374-f2d5dc0cced635ef-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000475","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.787 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 36ms | Usuario: Anonymous | TraceId: 00-714cd68fbecb6e76bf0723201b286819-b7373b38fe06be54-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000473","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.791 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 39ms | Usuario: Anonymous | TraceId: 00-956a8c0ccf6acb533a37ac263f1ccf85-ce479ea855888937-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000477","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.794 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 42ms | Usuario: Anonymous | TraceId: 00-b7137ff0c88203223c2a4aeced129cbc-9709f2ed8ea7a019-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000479","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.801 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 48ms | Usuario: Anonymous | TraceId: 00-ded1e372aba82eb8f76690a36805b0dc-f6f9d0e56d520074-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000047B","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.807 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 55ms | Usuario: Anonymous | TraceId: 00-6ab1ddae54ca295498c17c3fa18919cf-d8d1136c432bb432-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000047D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:36.815 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 63ms | Usuario: Anonymous | TraceId: 00-862926041dbcab0cb4f7e7ab89a093b0-55e7743f60d4daba-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000047F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:46.356 -05:00 [INF] ==> OPTIONS /seguridad/empresa/byid | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-3fc501ef02c6323fa543e001ffcdb4d5-2cb51932e3f0493f-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000481","RequestPath":"/seguridad/empresa/byid","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:46.357 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo/select-unselect | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-57536290821b84767defd006ff58948f-7f194dcd81753251-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000483","RequestPath":"/seguridad/empresa-modulo/select-unselect","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:43:46.357 -05:00 [INF] ==> OPTIONS /maestro/red-social | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-a0ae3a487ec74c5bf95cc48b9430edc0-ee37ab74423445fb-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000485","RequestPath":"/maestro/red-social","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
